,local_unique_id,address,Country,lat,lng,coordinate_type,living_area,price,currency,title,type,offer_type,url
0,69468,"Grafická, Praha 5 - Smíchov",CZ,50.0727965249743,14.393182617281001,point,58.0,7511000.0,CZK,Prodej bytu 2+kk 58 m² (Mezonet),apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-graficka/69468
1,118364,"Ostrava - Moravská Ostrava, okres Ostrava-město",CZ,49.834645200004104,18.2820440791588,polygon,81.0,3600000.0,CZK,Prodej bytu 3+1 81 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+1/ostrava-moravska-ostrava-/118364
3,261724,"Libušina, Karlovy Vary",CZ,50.221042748699396,12.886521975427305,line,132.0,11386200.0,CZK,Prodej bytu 3+kk 132 m² (Mezonet),apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/karlovy-vary-karlovy-vary-libusina/261724
6,446044,"Vivienda 203 de Urbanización El Diamante de Marina de Casares- Casares Costa, Španělsko",CZ,36.37732000000001,-5.2203800000000005,point,140.0,9624050.0,CZK,Prodej bytu 4+kk 140 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/4+kk/vivienda-203-de-urbanizacion-el-diamante-de-marina-de-casares--casares-costa--/446044
9,495452,"Purkyňova, Plzeň - Jižní Předměstí",CZ,49.74078624166661,13.3742868242009,point,84.0,3999000.0,CZK,Prodej bytu 3+kk 84 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/plzen-jizni-predmesti-purkynova/495452
11,556636,"Na Šibeníku, Olomouc - Nová Ulice",CZ,49.597289,17.236442,point,63.0,3212620.0,CZK,Prodej bytu 2+kk 63 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/olomouc-nova-ulice-na-sibeniku/556636
14,798556,"Jakubská, Praha 1 - Staré Město",CZ,50.08813858032229,14.426770210266099,point,39.0,7490000.0,CZK,Prodej bytu 1+1 39 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/1+1/praha-stare-mesto-jakubska/798556
16,1166940,"Rybářská, Plzeň - Jižní Předměstí",CZ,49.7495873240786,13.3658158735533,point,98.0,4320000.0,CZK,Prodej bytu 2+kk 98 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/plzen-jizni-predmesti-rybarska/1166940
20,1650268,"Velvarská, Horoměřice",CZ,50.1372383,14.3358605,point,78.0,5300000.0,CZK,Prodej bytu 2+kk 78 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/horomerice-horomerice-velvarska/1650268
21,1695324,"Slezská, Praha 3 - Vinohrady",CZ,50.0768013000488,14.463970184326199,point,112.0,11200000.0,CZK,Prodej bytu 3+kk 112 m² (Mezonet),apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-slezska/1695324
23,1805404,"Plzeňská, Praha 5 - Motol",CZ,50.06983899094421,14.3666511183928,line,106.0,11000000.0,CZK,Prodej bytu 3+kk 106 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-motol-plzenska/1805404
24,1896028,"Karla Kofránka, Hořice",CZ,50.3604408705226,15.635240193065199,point,38.0,2270040.0,CZK,Prodej bytu 2+kk 38 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/horice-horice-karla-kofranka/1896028
29,2289500,"Kuttelwascherova, Praha 9 - Černý Most",CZ,50.1050392117303,14.5805173126773,line,108.0,7699000.0,CZK,Prodej bytu 4+1 108 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/4+1/praha-cerny-most-kuttelwascherova/2289500
31,2416220,"Chebská, Mariánské Lázně",CZ,49.9650639,12.6941771,point,30.0,2007369.0,CZK,Prodej bytu 1+kk 30 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/1+kk/marianske-lazne-marianske-lazne-chebska/2416220
33,3026524,"Černý Důl, okres Trutnov",CZ,50.629299163818395,15.7120304107666,point,82.0,4950000.0,CZK,Prodej bytu 3+kk 82 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/cerny-dul-cerny-dul-/3026524
39,4877916,"U Řepory, Praha 5 - Stodůlky",CZ,50.042843,14.309628,point,104.0,13229070.0,CZK,Prodej bytu 4+kk 104 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-stodulky-u-repory/4877916
40,2432604,"Lipová, Tachov",CZ,49.801809999999996,12.628029,point,65.0,1799000.0,CZK,Prodej bytu 2+1 65 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+1/tachov-tachov-lipova/2432604
42,5479516,"Dlouhá, Praha 1 - Staré Město",CZ,50.0901001272248,14.4243459151219,line,60.0,10380000.0,CZK,Prodej bytu 2+1 60 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+1/praha-stare-mesto-dlouha/5479516
45,5836636,"Slezská, Praha 3 - Vinohrady",CZ,50.07650694005979,14.454623602978499,point,81.0,9900000.0,CZK,Prodej bytu 2+1 81 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+1/praha-vinohrady-slezska/5836636
48,6041180,"Římská, Praha 2 - Vinohrady",CZ,50.077808380127,14.432979583740199,point,63.0,7500000.0,CZK,Prodej bytu 3+1 63 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+1/praha-vinohrady-rimska/6041180
49,6119260,"Osvobození, Tišnov",CZ,49.3554840613239,16.4249397211968,line,73.0,3490000.0,CZK,Prodej bytu 3+1 73 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+1/tisnov-tisnov-osvobozeni/6119260
50,6528604,"Wolkerova, Olomouc",CZ,49.587557409258785,17.2437306100076,line,89.0,4725750.0,CZK,Prodej bytu 3+kk 89 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/olomouc-olomouc-wolkerova/6528604
51,6541148,"Břízová, Moravský Krumlov",CZ,49.0414914471533,16.307565145755998,point,93.0,2900000.0,CZK,Prodej bytu 3+1 93 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+1/moravsky-krumlov-moravsky-krumlov-brizova/6541148
52,6758236,"Dělnická, Praha 7 - Holešovice",CZ,50.1034152250195,14.4545532413247,point,110.0,12987261.0,CZK,Prodej bytu 4+kk 110 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-holesovice-delnicka/6758236
55,7036764,"Mařákova, Litomyšl - Litomyšl-Město",CZ,49.8622956733569,16.3057623624,line,63.0,2899000.0,CZK,Prodej bytu 3+1 63 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+1/litomysl-litomysl-mesto-marakova/7036764
