,local_unique_id,address,Country,lat,lng,coordinate_type,living_area,price,currency,title,type,offer_type,url
2,240732,"S. K. Neumanna, Pardubice - Zelené Předměstí",CZ,50.02477664174379,15.7787300210892,line,56.0,9800.0,CZK,Pronájem bytu 2+1 56 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+1/pardubice-zelene-predmesti-s--k--neumanna/240732
4,401244,"Havířská, Karviná - Nové Město",CZ,49.863478611111,18.534345000000002,point,56.0,5250.0,CZK,Pronájem bytu 2+1 56 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+1/karvina-nove-mesto-havirska/401244
5,286300,"Italská, Praha 2 - Vinohrady",CZ,50.08012457182551,14.437978732229302,line,94.0,48000.0,CZK,Pronájem bytu 3+kk 94 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/3+kk/praha-vinohrady-italska/286300
7,474716,"Jankovcova, Praha - Holešovice",CZ,50.110286070608794,14.4514380859215,line,43.0,16500.0,CZK,Pronájem bytu 1+kk 43 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/1+kk/praha-holesovice-jankovcova/474716
8,483164,"Jindřicha Plachty, Ostrava - Poruba",CZ,49.831749444444,18.165513888889,point,56.0,7700.0,CZK,Pronájem bytu 2+1 56 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+1/ostrava-poruba-jindricha-plachty/483164
10,540252,"Povltavská, Praha 8 - Troja",CZ,50.11607421253621,14.4364631658568,point,93.0,35000.0,CZK,Pronájem bytu 3+kk 93 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/3+kk/praha-troja-povltavska/540252
12,638044,Znojmo,CZ,48.8554987399813,16.0487976177613,polygon,31.0,6677.0,CZK,Pronájem bytu 1+1 31 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/1+1/znojmo-znojmo-/638044
15,1015644,"Svornosti, Praha 5 - Smíchov",CZ,50.0705562904,14.409025856800001,point,64.0,17500.0,CZK,Pronájem bytu 2+1 64 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+1/praha-smichov-svornosti/1015644
18,1277788,"Charkovská, Praha 10 - Vršovice",CZ,50.070753438221296,14.449995302941101,point,50.0,11000.0,CZK,Pronájem bytu 1+1 50 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/1+1/praha-vrsovice-charkovska/1277788
19,1474396,"Na Mušce, Holice",CZ,50.0755385908895,15.9824129963523,line,32.0,6900.0,CZK,Pronájem bytu 1+1 32 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/1+1/holice-holice-na-musce/1474396
22,1765212,"Laubova, Praha 3 - Vinohrady",CZ,50.0789605637653,14.450032002058801,line,95.0,64800.0,CZK,Pronájem bytu 3+kk 95 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/3+kk/praha-vinohrady-laubova/1765212
25,1916508,"Jakubské náměstí, Brno - Brno-město",CZ,49.1963622707477,16.6086825895012,point,60.0,25500.0,CZK,Pronájem bytu 2+kk 60 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+kk/brno-brno-mesto-jakubske-namesti/1916508
26,1912412,"Adamusova, Ostrava - Hrabůvka",CZ,49.789366510034114,18.261385620228,point,39.0,5990.0,CZK,Pronájem bytu 2+1 39 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+1/ostrava-hrabuvka-adamusova/1912412
27,2006108,"U kříže, Praha 5 - Jinonice",CZ,50.05427009014621,14.3664048053443,line,94.0,30000.0,CZK,Pronájem bytu 4+kk 94 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/4+kk/praha-jinonice-u-krize/2006108
